City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
502,Nkoteng,CM,4.5167,12.0333,74.21,25,97,1.9,overcast clouds
503,Zhigalovo,RU,54.8097,105.1578,-18.51,100,100,0.72,overcast clouds
504,Bang Krathum,TH,16.5783,100.3003,77.9,47,16,3.18,few clouds
505,Tecoanapa,MX,16.5167,-98.75,85.53,56,20,10.45,few clouds
506,Bertoua,CM,4.5833,13.6833,76.14,23,28,2.39,scattered clouds
507,Deputatskiy,RU,69.3,139.9,-18.67,87,100,2.06,overcast clouds
508,Eregli,TR,37.5133,34.0467,22.15,79,100,2.51,overcast clouds
509,Novoilinsk,RU,51.6829,108.7143,-18.15,100,100,1.43,overcast clouds
510,Grootfontein,NA,-19.5667,18.1167,68.13,81,80,5.48,light rain
511,Okhotsk,RU,59.3833,143.3,13.32,80,100,15.08,overcast clouds
512,Aranos,NA,-24.1333,19.1167,79.34,47,39,17.43,scattered clouds
513,Mayya,RU,61.7333,130.2811,-31.68,100,94,2.75,overcast clouds
514,Xifeng,CN,42.7372,124.7222,9.63,74,0,5.93,clear sky
515,Antofagasta,CL,-23.65,-70.4,72.21,56,22,9.37,few clouds
516,Santa Marinella,IT,42.0345,11.8536,50.02,48,32,8.93,scattered clouds
517,Rocha,UY,-34.4833,-54.3333,78.96,50,10,12.28,clear sky
518,Kemptville,CA,45.0168,-75.641,11.86,51,93,6.91,overcast clouds
519,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.41,82,91,4.76,overcast clouds
520,Lodwar,KE,3.1191,35.5973,87.06,31,6,9.6,clear sky
521,Chingirlau,KZ,51.095,54.0814,10.18,95,100,5.99,light snow
522,Lerwick,GB,60.1545,-1.1494,41.0,75,75,41.07,broken clouds
523,Raudeberg,NO,61.9875,5.1352,39.87,95,100,46.8,overcast clouds
524,Vikulovo,RU,56.8167,70.6107,6.89,89,100,6.42,overcast clouds
525,Inverness,GB,57.4791,-4.224,43.21,86,40,5.01,scattered clouds
526,Ahipara,NZ,-35.1667,173.1667,64.6,73,70,6.93,broken clouds
527,Naze,JP,28.3667,129.4833,56.97,78,100,13.29,overcast clouds
528,Maralal,KE,1.0968,36.698,60.94,67,72,5.64,broken clouds
529,Mikhaylov,RU,54.2292,39.0186,25.03,97,100,5.03,overcast clouds
530,Huarmey,PE,-10.0681,-78.1522,75.36,72,24,11.9,few clouds
531,Birjand,IR,32.8663,59.2211,36.07,38,0,4.61,clear sky
532,Parabel,RU,58.6978,81.4825,-7.04,100,99,4.52,overcast clouds
533,Balkhash,KZ,46.844,74.9804,26.4,94,100,16.2,light snow
534,Zambezi,ZM,-13.5432,23.1047,66.94,91,100,2.04,overcast clouds
535,Buritizeiro,BR,-17.3511,-44.9622,83.57,59,68,5.57,broken clouds
536,Caluquembe,AO,-13.7833,14.6833,61.27,93,100,10.38,overcast clouds
537,Saint-Augustin,CA,51.226,-58.6502,7.97,80,100,14.74,overcast clouds
538,Baltay,RU,52.4652,46.6308,19.08,97,100,5.48,light snow
539,Fez,MA,34.0372,-4.9998,59.11,50,0,3.44,clear sky
540,Polson,US,47.6936,-114.1632,24.73,79,81,1.54,broken clouds
541,Muros,ES,42.7762,-9.0603,55.9,77,14,4.43,few clouds
542,Avera,US,33.194,-82.5271,43.92,25,0,13.62,clear sky
543,Kulhudhuffushi,MV,6.6221,73.07,81.9,76,62,18.52,broken clouds
544,Launceston,AU,-41.45,147.1667,58.64,80,40,1.01,scattered clouds
545,Touros,BR,-5.1989,-35.4608,83.3,73,100,10.27,overcast clouds
546,Tura,IN,25.5198,90.2201,50.94,57,0,2.19,clear sky
547,Qasigiannguit,GL,68.8193,-51.1922,14.25,82,83,10.69,broken clouds
